Nombre;Latitud;Longitud;Categor¡as
Correos Chile;-33,6077745;-70,5732271;3
Gastronom¡a peruana cumbres del sol;-33,6073965;-70,5721121;1
Reparadora de calzado;-33,6072267;-70,57205;3
Sindicato profesional de due¤os camiones;-33,6075809;-70,5714133;6
Cafeter¡a Cossett;-33,6082815;-70,5749485;1
Novasalud;-33,6082815;-70,5749485;8
Ke rico;-33,6080489;-70,5751562;1
Yayi vegan;-33,6080067;-70,5752138;1
Banco Falabella;-33,6100357;-70,5750757;13
Banco Estado;-33,6084568;-70,5759552;13
Caja los Andes;-33,6088682;-70,5752785;13
Negocio telas y ropa;-33,6074828;-70,5709979;4
Almacen Cancilla;-33,6068697;-70,570624;4
Casa Du;-33,6077105;-70,5708744;1
Corporaci¢n dolores sope¤a;-33,6078782;-70,5704475;6
Fundaci¢n trabajo con sentido;-33,6083866;-70,5706262;6
Licorer¡a y distribuidora brindis;-33,608183;-70,5704164;4
Amasanderia luisita 0402;-33,607201;-70,5707011;4
Minimarket distribuidora de huevos y animales;-33,6083346;-70,5702639;4
Sushi Rustiko 289;-33,6088218;-70,5702542;1
Primera Compa¤¡a de Bomberos Puente Alto;-33,6104936;-70,574633;6
Minimarket Hay Pan;-33,6092706;-70,5705548;4
Clases de yoga 249;-33,6093113;-70,5701613;3
Colegio tacora Manuel Rodr¡guez esquina Nemesio;-33,6100462;-70,5706805;7
Renal chile;-33,6101905;-70,5709375;8
El sure¤o sabores chilenos;-33,6102065;-70,5713792;1
Club de deportes mataquito;-33,6097635;-70,5715221;3
Pan amasado;-33,610178;-70,5716945;4
Conjunto residencial regidor;-33,6099155;-70,5720668;7
Taller de pintura;-33,6100094;-70,5725818;3
Hueveria;-33,6100094;-70,5725818;4
Negocio protegido en arriendo;-33,6103766;-70,5725398;9
Peky Estilo barber¡a;-33,6100427;-70,5728545;3
Minimarket Los Angeles 195 21 mayo;-33,6107957;-70,5729571;4
Tostaduria emporio al grano;-33,6105117;-70,5730804;1
àptica Center expr‚s;-33,6105117;-70,5730804;4
Cl¡nica policenter;-33,6105174;-70,5731823;8
Colegio nidal 0173;-33,6105401;-70,5733217;7
Cruz roja;-33,6109208;-70,5741119;8
EEPA;-33,6104377;-70,5738562;10
CMPC;-33,6099246;-70,5692782;10
El Carnicero (Mayorista);-33,6084568;-70,5759552;10
Carnes mir¢;-33,6100357;-70,5750757;4
Sala de juegos;-33,6100965;-70,5750186;9
Fuente Libanesa;-33,6098496;-70,5748291;1
Do¤a Carne;-33,6090585;-70,5750108;4
El Carnicero;-33,6084568;-70,5759552;4
Feria de Libros;-33,6071548;-70,5717323;4
Negocio de Telas;-33,6075242;-70,5709952;4
Zapater¡a;-33,6075242;-70,5709952;11
Bomberos;-33,6088218;-70,5702542;-
Kiosko;-33,6092706;-70,5705548;4
El Sure¤o;-33,6102065;-70,5713792;1
KDA Fuente de Soda;-33,6103105;-70,5749577;1
Local Vac¡o;-33,6100559;-70,5748039;9
Local Vac¡o;-33,6090629;-70,5736748;9
Local Vac¡o;-33,6093199;-70,575001;9
Waldo's;-33,6090937;-70,5739108;1
Popopollo;-33,6081145;-70,5673846;1
La taberna bar;-33,6089076;-70,5737169;12
Bar Donde Flavio;-33,6087514;-70,5729266;12
El Refugio;-33,6086642;-70,5718315;12
Cevicher¡a La Ca¤a;-33,6084326;-70,5714149;1
Colegio Ingles San Luis de Gonzaga;-33,6089848;-70,5720279;7
Sal¢n de Pool Academia;-33,6089477;-70,5726089;9
Luces y Sombras Restobar;-33,6091161;-70,5741418;12
Panader¡a San Camilo;-33,608919;-70,5744849;13
El Rincon del Smoothie;-33,6087782;-70,5750702;1
Goat Coffee;-33,6075383;-70,5747628;1
Restaurant Tia Rossy;-33,607713;-70,5750591;1
Pasteler¡a Casera Natalia;-33,6076778;-70,5747102;1
Princess Sushi;-33,6075979;-70,5746231;1
Centro Arabe;-33,6075979;-70,5746231;1
CMPC;-33,6108055;-70,5639677;13
BCI;-33,6075241;-70,5738943;13
Hites;-33,6102044;-70,575614;13
La Polar;-33,6107736;-70,5759619;13
Centro Comercial Plaza Puente;-33,5988439;-70,5780748;13
Jumbo;-33,6118321;-70,5766256;13
Express de Lider;-33,6089224;-70,5739693;13
Scotiabank;-33,6087785;-70,5750698;13
N£cleo Puente Alto;-33,6066965;-70,5751576;13
Cl¡nica N£cleoSalud Puente Alto;-33,6066965;-70,5751576;13
KFC;-33,6075195;-70,5775223;13
Casta¤o;-33,6090732;-70,5755884;13
Liquimax;-33,6090158;-70,5746388;13
Aguas Andinas S.A. - Agencia Comercial Puente Alto;-33,60841;-70,5723;13
Puma Puente Alto;-33,6066965;-70,5751576;13
Banco Santander;-33,6083357;-70,5765752;13
C mara de Comercio y Turismo Puente Alto;-33,6095617;-70,5769164;6
